asinValue,title,imageProductNew,priceSymbol,price
B07K2NZX8L,"HDMI Switch 4k@60hz Splitter, GANA Aluminum Bidirectional HDMI Switcher 2 in 1 Out, Manual HDMI Hub Supports HD Compatible with Xbox PS5/4/3 Blu-Ray Player Fire Stick Roku (1 Display at a Time)",https://m.media-amazon.com/images/I/71H1hhxDWgL._AC_UY218_.jpg,$,12.99
B08JLZWMM4,"HDMI Splitter Adapter Cable - HDMI Splitter 1 in 2 Out HDMI Male to Dual HDMI Female 1 to 2 Way for HDMI HD, LED, LCD, TV, Support Two The Same TVs at The Same Time",https://m.media-amazon.com/images/I/61hI8curGhS._AC_UY218_.jpg,$,12.99
B0732MD43P,"avedio Links HDMI Splitter 1 in 2 Out, 4K HDMI Splitter for Dual Monitors Duplicate/Mirror Only, 1x2 HDMI Splitter 1 to 2 Amplifier for Full HD 1080P 3D with 5ft HDMI Cable (1 Source onto 2 Displays)",https://m.media-amazon.com/images/I/61ejR57-x9L._AC_UY218_.jpg,$,15.89
B08L1N8TG9,"HDMI Splitter Cable Male 1080P to Dual HDMI Female 1 to 2 Way HDMI Splitter Adapter Cable for HDTV HD, LED, LCD, TV, Support Two TVs at The Same Time",https://m.media-amazon.com/images/I/71fP-V8XjSS._AC_UY218_.jpg,$,10.98
B07T67CLB7,"HDMI Splitter 1 in 4 Out, MT-ViKI 1x4 Power HDMI Splitter 4 Ports w/AC Adapter, 4Kx2K@30Hz 3D Full HD Distributor for PS4 Fire Stick HDTV",https://m.media-amazon.com/images/I/61-VpnIhePL._AC_UY218_.jpg,$,16.99
B09MM5QT3R,"HDMI Switch 3 in 1 Out 4K UHD HDMI Switcher Splitter, Automatic Switch with Remote Metal HDMI Switch Box Hub Support 4K 30Hz 3D 1080P HDCP1.4 for PS5 PS4 Xbox DVD Player Fire Stick Apple TV PC",https://m.media-amazon.com/images/I/61a9uQhr1AL._AC_UY218_.jpg,$,19.98
B0B17NPWKZ,"HDMI Switch 5 in 1 Out with Remote, Aluminum HDMI Splitter HDMI Switcher Supports 4K 3D 1080p@60Hz UHD HDR, HDMI2.0 Switch Compatible with PS5/4/3 Laptop DVD Blu-Ray Xbox Roku HDTV Fire Stick",https://m.media-amazon.com/images/I/71y0BbIPg1L._AC_UY218_.jpg,$,27.99
B09CDNNZNM,"HDMI Switch 4K HDMI Splitter-Tekholy Aluminum Bi-Directional HDMI Switcher Splitter 2 Input 1 Output, 2 x 1/1 x 2, Support 4K 3D 1080P for Xbox PS4 Roku HDTV Fire Stick Blu Ray(HDMI CABLE NOT INCLUDE)",https://m.media-amazon.com/images/I/51LTBWzWbDL._AC_UY218_.jpg,$,9.99
B06VX1PKQ7,"HDMI Switch, GANA 4K HDMI Splitter 3 in 1 Out, 3-Port HDMI Switcher Selector with Pigtail HDMI Cable,Supports Full HD 4K 1080P 3D Player, HDMI Hub Compatible with Fire Stick,HDTV,PS4 Game Consoles,PC",https://m.media-amazon.com/images/I/61Vt0PyH5sL._AC_UY218_.jpg,$,13.99
B005HXFARS,"OREI HDMI Splitter 1 in 2 Out - 1x2 HDMI Display Duplicate/Mirror - Powered Splitter Full HD 1080P, 4K @ 30Hz (One Input To Two Outputs) - USB Cable Included - 1 Source to 2 Identical Displays",https://m.media-amazon.com/images/I/619AO0ON7QL._AC_UY218_.jpg,$,14.99
B076JDXPRG,KELIIYO HDMI Splitter 1 in 4 Out V1.4b Powered HDMI Video Splitter with AC Adaptor Duplicate/Mirror Screen Monitor Supports Ultra HD 1080P 2K x4K@30Hz and 3D Resolutions (1 Input to 4 Outputs),https://m.media-amazon.com/images/I/616hmfT2k1L._AC_UY218_.jpg,$,18.39
B0865JJLHD,"UGREEN HDMI Switch 3 in 1 Out 4K HDMI Splitter, HDMI Switch with Remote Supports HDR CEC 3D HDCP1.4 HDMI 3 Port Box Hub 4K 30Hz, Compatible with PS5 PS4 Xbox Fire Stick Roku Apple TV PC",https://m.media-amazon.com/images/I/61cR+DBF6+L._AC_UY218_.jpg,$,18.99
B0BKL2HM4H,"HDMI Switch 2 in 1 Out 4K@60Hz, WARRKY 【3.3ft Fixed Braided HDMI Cable, Aluminum Case, HDCP 2.2】 Bidirectional 2x1 Switcher Splitter UHD Compatible for PS5/4, Xbox, Roku, FireStick",https://m.media-amazon.com/images/I/81z7I41cipL._AC_UY218_.jpg,$,13.99
B08P1BN2VG,"HDMI Switch 4K@60Hz【Upgraded】3 in 1 Out HDMI Splitter, 3 Port Hdmi Switcher Box Supports Full HD 4K 1080P 3D,Multi Port HDMI Switcher Selector 2.0 HDMI Switch for Xbox PS3 4 5 TV Gaming Mac Roku HDTV",https://m.media-amazon.com/images/I/51gw3RHj4dL._AC_UY218_.jpg,$,14.99
B09Y14JSFH,"UGREEN HDMI Switch 5 in 1 Out 4K@60Hz, HDMI Splitter with Remote 5 Port HDMI Switcher Selector Support 3D CEC HDR HDCP2.2 Compatible with PS5/4/3 Xbox Nintendo Switch Roku TV Fire Stick",https://m.media-amazon.com/images/I/61GL-cXFkLL._AC_UY218_.jpg,$,39.99
B082CXZP71,"HDMI Splitter 1 in 2 Out, HDMI Splitter 1 to 2 Amplifier for Full HD HDMI 2.0 1080P/ 3D/ 4K for Xbox PS4 PS3 Fire Stick Roku Blu-Ray Player Apple TV HDTV",https://m.media-amazon.com/images/I/41IL0PjhgGL._AC_UY218_.jpg,$,19.99
